Keyword,Category,Asin,Rank,Rating,Rating Count,Price,Description,Ai_description,Tag,Image_url,Product_title
Aluminium Inner Lid Pressure Cooker,Pots & Pans,B00SX2YZNK,29,4.2,19038,1078,"Ideal for 1 or 2 Persons Made from pure virgin aluminium, exterior mirror polished Base thickness 3.25 to 4.06 mm Super-fast cooking Improved pressure regulator − saves more fuel Inside-fitting safety lid − will not open until pressure falls","Ideal for 1 or 2 persons. Made from pure virgin aluminium. Super-fast cooking. Improved pressure regulator. Inside-fitting safety lid.""
",Eco Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hawkins Classic 1.5L Aluminium Inner Lid Pressure Cooker
Aluminium Inner Lid Pressure Cooker,Cookware,B00SX2YZNK,30,4.2,19038,1078,"Ideal for 1 or 2 Persons Made from pure virgin aluminium, exterior mirror polished Base thickness 3.25 to 4.06 mm Super-fast cooking Improved pressure regulator − saves more fuel Inside-fitting safety lid − will not open until pressure falls","Ideal for 1 or 2 persons. Made from pure virgin aluminium. Super-fast cooking. Improved pressure regulator. Inside-fitting safety lid.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hawkins Classic 1.5L Aluminium Inner Lid Pressure Cooker
Aluminium Kadai with Handle,Kadhai & Woks,B015SQQ1CG,19,4,1095,609,"Aluminum kadhai Ideal for samosas, vegetables, for making sweets and much more Deep frying foods. This cookware utensil is of classy finish and gives an elegant look to kitchen decor. This product is an ideal cookware for any kitchen. Easy to clean and wash, they have very exotic color. Used for preparing and cooking food or stylishly serving food. Comfortable handle. This product is used in various restaurants, home, catering, etc for making various dishes. Aluminium kadai with handle have been made of fine quality material makes this set long-lasting. The superb design of the cookware makes it a great addition to your antique cookware collection. Dimension: 22 x 17 x 6.5 cm (L x B x H), Capacity: 750 ml, Weight: Appro x 445 Gram, Diameter: Approx 22 cm. 1 Year Manufacturer Warranty.","Versatile aluminum kadhai for samosas, vegetables, sweets, and more. Stylish and easy to clean. Perfect for any kitchen. 1-year warranty.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",HAZEL 4 mm Aluminium Kadai with Handle
Aluminium Kadai with Handle,Stir-Fry Pans,B015SQQ1CG,23,4,1095,609,"Aluminum kadhai Ideal for samosas, vegetables, for making sweets and much more Deep frying foods. This cookware utensil is of classy finish and gives an elegant look to kitchen decor. This product is an ideal cookware for any kitchen. Easy to clean and wash, they have very exotic color. Used for preparing and cooking food or stylishly serving food. Comfortable handle. This product is used in various restaurants, home, catering, etc for making various dishes. Aluminium kadai with handle have been made of fine quality material makes this set long-lasting. The superb design of the cookware makes it a great addition to your antique cookware collection. Dimension: 22 x 17 x 6.5 cm (L x B x H), Capacity: 750 ml, Weight: Appro x 445 Gram, Diameter: Approx 22 cm. 1 Year Manufacturer Warranty.","Versatile aluminum kadhai for samosas, vegetables, sweets, and more. Stylish and easy to clean. Perfect for any kitchen. 1-year warranty.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",HAZEL 4 mm Aluminium Kadai with Handle
Aluminium Kitchen Kadhai Combo Pack,Woks,B097YMM5GG,18,3.6,154,799,Aluminium Kadhai<br> Best for Deep Frying<br> Material: Aluminium<br>,"Best for deep frying. Made of aluminium. Perfect for all your frying needs.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Redific Aluminium Kadhai Kadai with Handle for Kitchen 
Aluminium Pressure Cooker,Pots & Pans,B00TE7QY7S,23,4,17411,1039,"Aesthetically designed cooker comes with easy grip & stay cool handle The cooker's handle with special lock arrangement that can be opened easily Specially formulated food-grade rubber gasket for longer life and Gasket release system for safety Fast and energy efficient cooking , Ideal for 7-8 members Precisely designed weight set for fast cooking","Easily grip and cool handle. Special lock for easy opening. Food-grade rubber gasket for longer life. Fast and energy efficient cooking. Ideal for 7-8 members. Precisely designed weight set.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Pigeon By Stovekraft Favourite Aluminium Pressure Cooker with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity for Healthy Cooking 
Aluminium Pressure Cooker,Cookware,B00TE7QY7S,23,4,17411,1039,"Aesthetically designed cooker comes with easy grip & stay cool handle The cooker's handle with special lock arrangement that can be opened easily Specially formulated food-grade rubber gasket for longer life and Gasket release system for safety Fast and energy efficient cooking , Ideal for 7-8 members Precisely designed weight set for fast cooking","Ergonomically designed cooker with easy grip handle. Special lock arrangement for easy opening. Food-grade rubber gasket for longer life. Fast and energy efficient cooking. Ideal for 7-8 members. Precisely designed weight set for fast cooking.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Pigeon By Stovekraft Favourite Aluminium Pressure Cooker with Outer Lid Induction and Gas Stove Compatible 5 Litre Capacity for Healthy Cooking 
Aluminium Pressure Cooker,Pots & Pans,B00EVR7NA8,30,4.2,12438,900,"Ideal for 1 or 2 Persons Quality-certified by the Bureau of Indian Standards (popularly known as ISI) Every cooker tested − will not leak Safer, shielded safety valve Inside-fitting safety lid − will not open until pressure falls","Safe and certified pressure cooker for 1-2 persons. Tested and leak-proof with a secure safety valve and lid.""
",Eco Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Hawkins 1.5 Litre Miss Mary Aluminium Pressure Cooker
Aluminium Pressure Cooker with Outer Lid,Pots & Pans,B00VK5MCMI,8,3.8,26375,719,"Made from superior quality virgin aluminium;Gas Stovetop Compatible Comes with four level of safety;Strong, sturdy and durable Ergonomic Bakelite handle for ease of use;Colour: Silver, Material: Aluminium Package Contents: 1-Piece pressure cooker (3 litres);Warranty Informtion: 5 years on product3; Certification: ISI Certified Control Method: Touch; Size Name: 3l; Operation Mode: Manual For any product releated issue contact brand customer support for faster resolution","High-quality aluminium pressure cooker with 4 levels of safety. Ergonomic handle for easy use. 3L capacity. 5-year warranty. ISI certified.""
",,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Pigeon By Stovekraft Favourite Aluminium Pressure Cooker with Outer Lid Gas Stove Compatible 3 Litre Capacity for Healthy Cooking 
Aluminium Pressure Cooker with Outer Lid,Cookware,B00VK5MCMI,8,3.8,26375,719,"Made from superior quality virgin aluminium;Gas Stovetop Compatible Comes with four level of safety;Strong, sturdy and durable Ergonomic Bakelite handle for ease of use;Colour: Silver, Material: Aluminium Package Contents: 1-Piece pressure cooker (3 litres);Warranty Informtion: 5 years on product3; Certification: ISI Certified Control Method: Touch; Size Name: 3l; Operation Mode: Manual For any product releated issue contact brand customer support for faster resolution","High-quality aluminium pressure cooker with 4 levels of safety. Ergonomic handle for easy use. Silver color. 3L capacity. 5-year warranty.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Pigeon By Stovekraft Favourite Aluminium Pressure Cooker with Outer Lid Gas Stove Compatible 3 Litre Capacity for Healthy Cooking 
Aluminum Coffee Maker,Stovetop Espresso Pots,B09B4VVWKT,26,3.7,173,649,"Using food‑grade aluminum, strong and durable, safe and non‑toxic, can be used safely. It can be heated directly on cooker, gas stove, To make delicious coffee for you. 150ml coffee maker, easy to install and disassemble, suitable for use at home, office and coffee shop. Smooth surface, exquisite workmanship, beautiful and exquisite, easy to clean, and strong practicability. With an ergonomic handle designed, has high temperature resistance and heat insulation performance.","Safe and durable coffee maker with food-grade aluminum. Easy to use and clean. Perfect for home, office, and coffee shop.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Niyam 3-Cup 150 ml Aluminum Coffee Maker Espresso Machine Percolator Gas Base Moka Pot 
Anodised Kadhai,Woks,B0C9PW3W1X,28,4.2,122,1049,"Switch to healthier cooking with KENT Hard Anodized Kadai as Aluminium leaches into food and can be harmful Made of high-grade Hard Anodised Aluminium with non-reactive, non-toxic, non-staining surface that prevents direct contact of aluminium with food 4.06 mm thick bottom for even heat distribution and eliminate overheating & overcooking Easy-to-grab, cool-touch, & Injection Moulded Bakelite handle for easy carrying without using a mitten or dish cloth Ideal to make rice, lentils, biryani, khichdi, chicken curry, vegetable curry, etc","Switch to healthier cooking with KENT Hard Anodized Kadai. Non-reactive, non-toxic surface ensures safe food preparation. Even heat distribution for perfect dishes.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",KENT Hard Anodised Kadhai 2L
Astronaut Galaxy Projector,Home & Kitchen,B0C73B4D1W,19,4,25546,1469,"Cosmic Adventure Awaits 🚀: Experience an out-of-this-world journey with the Desidiya Astronaut Galaxy Projector. It transports you to the stars, planets, and nebulae, creating an enchanting celestial atmosphere. 360° Galactic Exploration 🌌: The projector's flexibility allows you to customize the projection angle, immersing your space entirely. Conveniently adjust settings with the included remote control. Sleep-Friendly Timer ⏰: The built-in timer feature ensures a peaceful night's sleep. Great for kids and adults, it automatically powers off when desired, saving energy. Gifts of Wonder 🎁: This unique astronaut-themed night light makes for an exceptional gift. Ideal for birthdays, baby showers, or space enthusiasts of all ages. Versatile for Every Setting 👶👩🧑: Perfect for children's bedrooms, adult relaxation, gaming rooms, and home parties, this projector fits seamlessly into any environment. Galactic Dreamscape 🪐: Transform your space into a celestial wonderland with the Desidiya Astronaut Galaxy Projector. It's a captivating addition to your home decor, offering hours of cosmic fascination and tranquil ambiance.","Experience cosmic adventure with the Desidiya Astronaut Galaxy Projector. Customize projection angle, sleep-friendly timer, perfect for any setting. Transform your space into a celestial wonderland.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",DesiDiya® Astronaut Galaxy Projector with Remote Control - 360° Adjustable Timer Kids Astronaut Nebula Night Light
Automatic Coffee Tea Machine,Hot Tea Machines,B0926VKW1X,1,4.5,296,15900,"Fully automatic vending machine: Make your hot cup of coffee or tea in seconds. This tea coffee vending machine dispenses your cuppa on just press of button. You don’t need milk, sugar, coffee/tea powder. All you need is instant coffee/tea premix, a 3-in-1 product consisting sugar, milk powder and coffee / tea powder. Just cut premix packet and load the powder inside the vending machine and press the button, your coffee or tea will be dispensed instantly. How to make coffee and tea: This is a hybrid model of vending machine which can make 2 types of hot beverages at the same time. There are 2 canisters inside the machine. You need to fill the premix powder inside these canisters. You can fill 2 varieties of premix powders by choosing any 2 premixes from the range available. These premix powders comes in standard size of 1 kg pack and you can fill 1kg premix powder in each canister. 1kg of premix will yield 80 cups. Delight your staff and customers: You can use this Vending Machine in Offices, Restaurants, Schools, Colleges, Coffee Shops, Grocery Stores and Factories for making coffee and tea instantly. This coffee and tea will taste just as home-made. Your staff and customers will thank you for providing lip smacking coffee and tea. Avoid wastage and pilferage: If you are making coffee and tea manually, it is proved worldwide pilferage & wastage is about 15% in every pantry. it is really tough to keep track of loose milk, stove gas, office boy timings. This coffee maker is having digital meter reading inside the machine by which you can track the consumption and co-relate with your premix powder purchase. Buy this coffee machine for your shop, restaurant or office and have full control on account of sales and consumption. Buy with peace of mind, we will ensure you will be happy and satisfied with this 2 Lane vending machine. After you receive the vending machine just call us on the phone number provided on the packing box of the vending machine and we will do the rest. It will take not more than 5 -10 minutes to install this robust user-friendly machine.","Instantly make hot coffee or tea with this fully automatic vending machine. No need for milk, sugar, or coffee/tea powder. Just use instant coffee/tea premix. Perfect for offices, restaurants, and more.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Cafe DESIRE I DRINK SUCCESS Tea Coffee Machine - 2Lane 
Automatic Room Freshener Kit,Home & Kitchen,B07FPKJ7MP,24,4.2,24628,527,"Contains: 1 unit of Godrej aer Matic Room fresheners automatic machine + Room freshener refill (225ml). Variant: Violet Valley Bloom BATTERY OPERATED AUTOMATIC AIR FRESHENER: Ensures consistent refreshing fragrance all through the day and keeps your home guest-ready LONG -LASTING: Each refill unit guarantees 2200 air sprays and keeps the room fragrant 24x7 for up to 60 days FLEXI SPRAY: Eliminate unpleasant odour by controlling the intensity of the fragrance by switching between 3 options - 10 min, 20 min and 40 min SUITABLE TO ANY ROOM: Place it on a table or shelf in the living room, bedroom or mount it on the wall with the provided mounting hole AVAILABLE IN 4 FRAGRANCES: Cool Surf Blue, Fresh Lush Green, Violet Valley Bloom, Petal Crush Pink","Get long-lasting fragrance with Godrej aer Matic Room fresheners. Battery operated and suitable for any room. Available in 4 fragrances.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Godrej aer Matic Kit 
Automatic Room Freshener Refill,Home & Kitchen,B07FPRB9CR,28,4.3,14194,276,"Contains: 1 unit of Godrej aer Matic Room freshener refill (225ml). Variant: Violet Valley Bloom BATTERY OPERATED AUTOMATIC AIR FRESHENER: Ensures consistent refreshing fragrance all through the day and keeps your home guest-ready LONG -LASTING: Each refill unit guarantees 2200 air sprays and keeps the room fragrant 24x7 for up to 60 days FLEXI SPRAY: Eliminate unpleasant odour by controlling the intensity of the fragrance by switching between 3 options - 10 min, 20 min and 40 min SUITABLE TO ANY ROOM: Insert the refill in the aer matic machine and place it on a table or shelf in the living room, bedroom or mount it on the wall with the provided mounting hole AVAILABLE IN 4 FRAGRANCES: Cool Surf Blue, Fresh Lush Green, Violet Valley Bloom, Petal Crush Pink","Long-lasting, battery-operated automatic air freshener with flexi spray. Keeps your home fragrant for up to 60 days. Suitable for any room. Available in 4 fragrances.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Godrej aer Matic Refill - Automatic Room Fresheners 
Automatic Water Dispenser,Hot Water Boilers & Dispensers,B07P5RT9PC,3,2.7,1463,429,"100% Safe Material: Food grade silicone hose, 304 stainless steel, high density ABS plastic shell. Economical & Healthy:Have no need to buy expensive water dispenser and pay for the clean fee,pump link directly to the silicone tubing， providing healthy water for your family and love ones. USB Powered: Built in rechargeable 1800mAh battery. Can be used for 30-40 days or around 4-6 bottles of 5 gallon water once full charged. No need to charge every day.Have no need to worry about the battery issue when outdoor use. Low Noise & High Efficiency:Universal electric drinking water pump designed for easy water dispensing with high efficiency and low noise. Easy to Use & Widely Used:Simply fasten the water bottle pump to the neck of the bottle,one switch operation, totally hassle free even for kids and elders.Lightweight, convenient and portable, best choice for home, kitchen and office and outdoor camping.","Convenient & safe water pump for home, kitchen, office & camping. USB powered with long-lasting battery. Easy to use & low noise. Get healthy water hassle-free!""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",LEMONDA Upgraded Bottle Water Pump USB Charging Automatic Drinking Water Pump Electric Water Dispenser Portable for Home Office Outdoor Use
Automatic Water Dispenser Pump,Hot Water Boilers & Dispensers,B0BXF9L7SV,1,4,898,699,"😊[ Easy to Use ] - Too heavy to lift and flip the water bottle onto the dispense machine?With this Hoteon water dispensing pump,you can enjoy refreshing water by touching the switch.No lifting or flipping anymore when you want to replace a new water bottle.It's easy to operate and save your time. 😊[ One Switch Operation & Protection System ] - Just press the LED light switch button and you can get the water quickly. Press the switch again for turning off the water flow. Easy to use, even for child. Protection System: Press once and the pump will dispense 600ml of water and it will stop automatically. Don't need to worry about forgetting to turn off water pump 😊[ Safe Material ] - Our water dispensing pump made of high density ABS plastic and food grade silicone tube, it does not contain BPA (bisphenol A), no toxic and no smell and is suitable for water dispensing in kitchen, office, school, camping, travel and party. 😊[ USB Rechargeable Battery ] - This water dispensing pump has built-in rechargeable 1200mAh lithium battery. Once full charged can used for 8-10 bottles of 20L water bottle, no need to charge every day. It can be taken along anywhere for water dispensing. 😊[ Note ] - The drinking water pump is suitable for water can with a 2.16-inch (5.5cm) neck. Please confirm the size of your neck before purchasing.","Easy to use water dispensing pump with one switch operation and protection system. Safe material, USB rechargeable battery. Suitable for various settings. Note",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",WAZDORF Universal Automatic Water Dispenser Pump
Bean to Cup Coffee Machine with Milk Steamer,Super-Automatic Espresso Machines,B004WZ6CRO,2,4.2,685,49900,"Freely adjustable water quantity 30-220 ml for small and large cups Conical steel grinder with 3 settings Chrome elements: coffee outlet, dial, on/off switch Removable water tank with 1.2 l capacity and automatic water level monitoring Frothed milk steam nozzle (Pannarello) Dimensions (W x H x D) 200 x 325 x 455 mm Aroma-Extraction-System (A.E.S.) LED symbol display, Height adjustable coffee outlet Energy efficiency, Double Cup Mode Removable brewing unit, Automatic cleaning and descaling programme, Water filter compatibility","Adjustable water quantity, conical steel grinder, chrome elements, removable water tank, frothed milk steam nozzle, compact size.""
",Best Pick,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",Melitta SOLO & Milk E953-102
