Categeory,asin,Rank,image_url,Rating,Rating Count,Price,Tag,description,Ai_description,Product_title,Keyword
Hand Tool Kits,B00SAZ7S0W,18,"https://images-eu.ssl-images-amazon.com/images/I/31jnXpxQWNL._AC_UL300_SR300,200_.jpg",4.4,558,1009,Best Pick,"Practical hand tools for all your basic needs at home You can also use the hammer as a rubber mallet, since separate rubber casing is included The tools have an easy to grip handle of soft synthetic rubber","{
    ""AI_DESCRIPTION"": ""Handy tools for home needs. Hammer doubles as rubber mallet. Easy grip handle with soft rubber.""
}",Ikea 001.692.54 Fixa Tool Kit,17-Piece Tool Kit
Bedroom Wardrobes,B0BH4VDJKL,3,"https://images-eu.ssl-images-amazon.com/images/I/61r4SqBz8mL._AC_UL300_SR300,200_.jpg",4.5,2601,8296,Best Pick,Installation: Installation/Assembly will be done within 4 working days of delivery.,"{
    ""AI_DESCRIPTION"": ""Installation/Assembly done within 4 working days of delivery.""
}",Wakefit Wardrobe ,2 Door Wardrobe
Bedroom Wardrobes,B07SSCJQXD,16,"https://images-eu.ssl-images-amazon.com/images/I/71YO18yyVcL._AC_UL300_SR300,200_.jpg",3.5,419,11999,Best Pick,Dimensions: 81.28W x 48.26D x 177.8H cms Simple and timeless design with an elegant finish Made from European standard particle board that is resistant against stains and humidity Passed 20+ safety and quality tests; Free from burrs and sharp edges to prevent scrapes and scratches Assembly Required: The product requires carpenter assembly and will be provided by the seller Warranty: 3 years on manufacturing defect Do not move or push without dismantling. Avoid using wet cloth to wipe furniture for better care,"{
    ""AI_DESCRIPTION"": ""Elegant, durable, and safe furniture with timeless design. Requires assembly. 3-year warranty included.""
}",Amazon Brand - Solimo Vega 2 Door Engineered Wood Wardrobe with Drawer and Full Mirror ,2 Door Wood Wardrobe with Drawer and Mirror
Adapters & Multi-Outlets,B07QYB58GS,14,"https://images-eu.ssl-images-amazon.com/images/I/61-u+M1H7YL._AC_UL300_SR300,200_.jpg",4.2,938,159,Best Pick,"PACKAGE CONTAINS: 4 6A Pin Plug Top Pilot Exclusive Design to give Elegant Look Easy to carry, Non flammable & Durable Material: Virgin Plastic Heavy quality plug tops has high Impact & high heat resistant unbreakable body, Robust and Elegant design With glossy white finish & aesthetic look, solves the purpose. Good grip pins keep it safe from spark and sleeved pins helps to phase marking and safety. The 2 pin plug has a smooth finish surface giving the top attractive design. It ensure safe working which helps to make the device durable and long lasting.","{
    ""AI_DESCRIPTION"": ""High quality 6A Pin Plug Top with elegant design, durable material & safe features for long-lasting use.""
}",Anchor by Panasonic 6A 2 Pin Plastic Plug Top 240V ,2 Pin Plug Top
Porch Swings,B08Z89J1KL,3,"https://images-eu.ssl-images-amazon.com/images/I/71uuqNenNnL._AC_UL300_SR300,200_.jpg",4.4,165,12730,Best Pick,"Dimensions: Iron Frame 42""L x 57""W x 60""H inch. Material: Heavy Iron Pipe and Color Teak Wood on swing chair. Warranty: 6 months. Color: Black on stand, Brown and light Brown wood color on swing chair. Package Include: Swing with Frame and swing chair. Easy to assemble: Normal Iron Frame and swing chair assembly (very easy) required then ready to use. Swing seating allows you to maintain and entertain with no hassle. Strong & Durable: Heavy metal frame supports up to 2 people. Swing load up to 300 kg.","{
    ""AI_DESCRIPTION"": ""Easy-to-assemble swing chair with durable iron frame, supports up to 2 people, load capacity 300 kg. Warranty included.""
}",Kaushalendra 2 Seater Swing Jhula Indoor Outdoor for Home With Stand 300 Kg Capacity Wooden Color Seat ,2 Seater Swing Jhula
Tables,B09Y4B3RHR,9,"https://images-eu.ssl-images-amazon.com/images/I/51QvNkVPjqL._AC_UL300_SR300,200_.jpg",4.1,188,2845,Best Pick,HIGH QUALITY - Sofa table is made of a Golden metal frame with golden sandy powder coating can offer strong stability and anti-rust; Solid wood&MDF table top is durable and easily clean,"{
    ""AI_DESCRIPTION"": ""High quality sofa table with sturdy metal frame and durable wood top for easy cleaning.""
}",Priti p- Engineered Wood 2 Tier Console Table ,2 Tier Console Table
End Tables,B08X751RXK,4,"https://images-eu.ssl-images-amazon.com/images/I/512WEQJdDTL._AC_UL300_SR300,200_.jpg",4.2,1217,748,Best Pick,"Quality material: high Quality medium density composite wood and plastic tubes.<br> Easy no hassle no tools 5-minutes assembly even a kid can accomplish. Sturdy on flat surface<br> Full collection includes furniture and decor for hallway, living room, dining room, kitchen, bathroom, bedroom, home office, garden and patio.<br> Utilise small spaces for better organization and display; petite size end table with shelf, suitable for small spaces<br> Assembly Instructions: Diy; Item Shape: Rectangle","{
    ""AI_DESCRIPTION"": ""High quality material, easy 5-min assembly, perfect for small spaces. Full furniture collection available. DIY assembly instructions.""
}",STAR WORK - End Table 2 Tier Shelf Rack Stand for Sofa Turn-N-Tube Side Table Corner Display Rack Hallway,2 Tier Shelf Rack Stand
Bathroom Soap Dispensers,B0C1VQLRWP,7,"https://images-eu.ssl-images-amazon.com/images/I/51s3EpfbOTL._AC_UL300_SR300,200_.jpg",3.7,156,120,Best Pick,1 Set Soap Dispenser Handy Product Specially For Women For Liquid Dispenser Complete Solution Easy To Clean Easy To Store,"{
    ""AI_DESCRIPTION"": ""Handy soap dispenser set for women, easy to use, clean, and store. Complete liquid solution.""
}",SR Smarty 2 in 1 Soap Dispenser for Dishwasher Liquid Holder,2 in 1 Soap Dispenser with Sponge
Storage Baskets,B09SHZDPK4,8,"https://images-eu.ssl-images-amazon.com/images/I/61eyV4ZSpsL._AC_UL300_SR300,200_.jpg",4.3,895,759,Best Pick,"𝐇𝐞𝐚𝐯𝐲-𝐃𝐮𝐭𝐲 𝐁𝐮𝐢𝐥𝐭: Fruit basket is made from high grade steel and 7-layer black coated powder. It has strong built structure, rust and corrosion proof. 𝗙𝘂𝗻𝗰𝘁𝗶𝗼𝗻𝗮𝗹 & 𝗩𝗲𝗿𝘀𝗮𝘁𝗶𝗹𝗲: Vegetable Basket Organizer Can Be Placed With Fruits, Vegetables, Small Household Items And Office Supplies. Perfect Solution For Home Storage, Fits To Any Style And Decor. 𝟮-𝗧𝗶𝗲𝗿 𝗖𝗼𝘂𝗻𝘁𝗲𝗿𝘁𝗼𝗽 𝗕𝗮𝘀𝗸𝗲𝘁: The Basket is Perfect For Holding Both Fruits And Vegetables, Keeping Your Space Organized And Doesn't Take Up Too Much Countertop Space. The Open Wire Basket Lets Air Circulate More Freely, Keeping Fruits And Vegetables To Breath And Stay Fresh. We would recommend to refer to the dimensions and weight of this product before confirmation. Size Of Plantex Storage Basket is 𝟏𝟖(𝐃) 𝐱 𝟑𝟎(𝐖) 𝐱 𝟑𝟓(𝐇) 𝐂𝐞𝐧𝐭𝐢𝐦𝐞𝐭𝐞𝐫𝐬. 𝗖𝗮𝗿𝗲 𝗜𝗻𝘀𝘁𝗿𝘂𝗰𝘁𝗶𝗼𝗻: Wipe Down With A Damp Cloth And Towel Dry. Wipe Down As Necessary To Prevent Dirt Buildup. Gripped Feet Prevent Sliding And Protect Delicate Surfaces. 𝗣𝗹𝗮𝗻𝘁𝗲𝘅 fruit basket is one of the best Kitchen Accessories which is totally rustproof and corrosion-free because of additional layers of powder coating and mirror finishing. Avoid using acids or such strong chemicals for cleaning the material. Please use wet and dry clothes to clean the product periodically.","{
    ""AI_DESCRIPTION"": ""Sturdy and versatile fruit basket with 2-tier design for organizing fruits and vegetables. Easy to clean and maintain. Perfect for any home decor.""
}",Plantex High Grade Steel 2-Tier Fruit & Vegetable Basket For Dining Table/Tiered Shelf Kitchen ,2-Tier Fruit & Vegetable Basket
File Cabinets,B0033J6V3A,18,"https://images-eu.ssl-images-amazon.com/images/I/61oMySdMtLL._AC_UL300_SR300,200_.jpg",4.4,11749,35629.08,Best Pick,18 Deep 2-Drawer File Cabinet Colour is Black It has glide suspension,"{
    ""AI_DESCRIPTION"": ""Black 2-drawer file cabinet with glide suspension, 18\"" deep.""
}",Lorell 14341 18 Deep 2-Drawer File Cabinet,2-drawer file cabinet
Humidifiers,B09C3Q2PBY,8,"https://images-eu.ssl-images-amazon.com/images/I/61Zyh8HAm3S._AC_UL300_SR300,200_.jpg",3.5,796,599,Best Pick,"[Two in One Application]---Besides the LED light, this product can also be used as a personal Mist Humidifier. [2 Spraying Modes]---Continuous spraying mode and intermittent spraying mode. [3 Night Light Colors]---This Moon Lamp has 3 night light modes: warm yellow, white, white and yellow. [Planet Shaped Design]---This Moon Diffuser has a planet shape in the galaxy which has a space concept. It is made of ABS, PP and silicone materials with distinctive moon shape design. [Fashionable Gift]---This 3D LED Night Light & Humidifier is fashionable and lovely as a gift for parents, friends, kids, etc.","{
    ""AI_DESCRIPTION"": ""2-in-1 LED light & mist humidifier with 2 spraying modes, 3 night light colors, and planet-shaped design. Fashionable gift idea.""
}",JM SELLER Plastic 2 In 1 Moon Lamp Cool Mist Humidifiers Essential Oil Diffuser Aroma Air Humidifier With Led Night Light Colorful Change For Car,2-in-1 Aroma Humidifier with LED Night Light
Toilet Brushes & Holders,B0C74C6821,3,"https://images-eu.ssl-images-amazon.com/images/I/41pwLzif59L._AC_UL300_SR300,200_.jpg",3.3,3457,220,Best Pick,"Bathroom cleaning accessories - bathroom cleaning brush with long handle is easy to use for floor wiper for home cleaning it remove every corner of home accessories toilet cleaner brush Bathroom tiles cleaning brush with long handle : Stain, tenacious filth, dirty water, and dust are easily removed with the help of a floor bathroom scrubber with long handle brush with strong bristles and a rubber squeegee Floor brush with long handle : Bathroom cleaner brushes are wear-resistant, strong, not easy to break. Stainless steel strong handles will never rust to supply long-term use. Household items for home cleaning accessories VYOOx 2in 1 floor scrub cleaning brush with wiper for floor cleaning : Bathroom cleaning brush comes in 2 in 1 scrub cleaning brush with soft scraper and rubber scrape. Bathroom brush with long handle for home cleaning products Bathroom floor cleaning brush with long handle : Kitchen accessories items You can use it as a floor cleaning brush or a push broom for outdoor. This House cleaning products are used on Wet and dry applied. The tiles cleaning brush will not only be used for hard floor cleaner brush, tiles, bathtub, swimming pool, kitchen, carpet, but also works well on balcony deck, living rooms, patio, garage, sidewalk, stadium, and other outdoor occasions.","{
    ""AI_DESCRIPTION"": ""Easy-to-use bathroom cleaning brush with long handle for efficient home cleaning. Removes dirt and grime from every corner with strong bristles and rubber squeegee.""
}",VYOOx Rubber 2 In 1 Bathroom Cleaning Brush Wiper Tiles Cleaning Bathroom Brush Floor Scrub Brush With Long Handle 120° Rotate Home Kitchen Bathroom Cleaning Brush Pack-1,2-in-1 Bathroom Cleaning Brush
Shower & Bath Taps,B08RHX2KY1,17,"https://images-eu.ssl-images-amazon.com/images/I/31mkrmdO6gL._AC_UL300_SR300,200_.jpg",4,293,799,Best Pick,"【 PACKAGE CONTAIN 】1 X Two Way Bib Cock, 1 X Wall Flange, 1 X Teflon Tape 【 MATERIAL 】Pure Brass, Chrome: Triple Layer Chrome (Anti-Corrosive) (Mirror-Finish), 0.3 To 0.5 Micron Chromium Plating And Impeccable Surface Finish 【 BEST DURABILITY ACERATOR 】 Neoperl 80% Water Saving technology (Foam Flow) (Splash Free), Suitable for Home, Bathroom, Kitchen, Outdoor, Garden, etc 【 CARTRIDGE DURABILITY 】Make this cartridge smoothness technology, Reliable Ceramic Cartridge, survive 500,000 times open & close test. Sophisticated ceramic engineering provides both convenience and control precision. 【 WARRANTY 】Jagger taps comes with 5 years of warranty to protect your investment and give you peace of mind. A warranty should cover any manufacturing defects or issues that arise due to normal use.","{
    ""AI_DESCRIPTION"": ""High-quality two-way bib cock with durable brass construction and chrome finish. Neoperl technology for water saving. Reliable ceramic cartridge. 5-year warranty included.""
}",JAGGER JGR59 Turbo 2 Way 2 In 1 Bib Cock Taps Compatible For Washing Machine,2-in-1 Bib Cock Taps
Shower & Bath Taps,B08RF31SFQ,22,"https://images-eu.ssl-images-amazon.com/images/I/618LPniX1JL._AC_UL300_SR300,200_.jpg",3.9,206,698,Eco Pick,"【 PACKAGE CONTAIN 】1 X Two Way Bib Cock, 1 X Wall Flange, 1 X Teflon Tape 【 MATERIAL 】Pure Brass, Chrome: Triple Layer Chrome (Anti-Corrosive) (Mirror-Finish), 0.3 To 0.5 Micron Chromium Plating And Impeccable Surface Finish 【 BEST DURABILITY ACERATOR 】 Neoperl 80% Water Saving technology (Foam Flow) (Splash Free), Suitable for Home, Bathroom, Kitchen, Outdoor, Garden, etc 【 CARTRIDGE DURABILITY 】Make this cartridge smoothness technology, Reliable Ceramic Cartridge, survive 500,000 times open & close test. Sophisticated ceramic engineering provides both convenience and control precision. 【 WARRANTY 】Jagger taps comes with 5 years of warranty to protect your investment and give you peace of mind. A warranty should cover any manufacturing defects or issues that arise due to normal use.","{
    ""AI_DESCRIPTION"": ""High-quality brass bib cock with chrome finish. Neoperl technology for water saving. Durable ceramic cartridge. 5-year warranty included.""
}",JAGGER JGR56 MARK 2 Way 2 In 1 Bib Cock Taps Compatible For Washing Machine,2-in-1 Bib Cock Taps
Shower & Bath Taps,B07RGYVYZH,12,"https://images-eu.ssl-images-amazon.com/images/I/51VHSI85JjL._AC_UL300_SR300,200_.jpg",4.3,1501,1299,Best Pick,"Material: Brass, Finish: Chrome Package Content: 1-Piece 2 Way Bib Cock, 1-Piece Wall Flange 7 Year Warranty Against Manufacturing Defect. This Bib Tap is 2-in-1 and has a wall flange, which makes it easier to attach it onto the wall Casting: 100% virgin Brass Ingots certified for 63% Copper to ensure flawless casting. It comes with foam flow which ensure smooth and streamlined flow of water.","{
    ""AI_DESCRIPTION"": ""Brass 2-in-1 Bib Tap with wall flange for smooth water flow. 7-year warranty included.""
}",ALTON GRC3715 2-in-1 Bib Cock with Wall Flange ,2-in-1 Bib Cock with Wall Flange
Bucket Mops,B07LDKFM2Y,2,"https://images-eu.ssl-images-amazon.com/images/I/61d8gx3IngL._AC_UL300_SR300,200_.jpg",4.2,44575,1085,Best Pick,"Twin Bucket Spin Mop for easy wringing and rinsing Microfibre technology helps lift and trap dirt with unique easy clean surface for superior clean Dual refill ensures usage depending on cleaning occasion and frequency and ensures that it lasts longer 360 degree telescopic handle to reach nooks and corners easily Material: Plastic, Color: Green Package Contents: 1-Piece Bucket, 1-Piece Handle and 2-Piece Round Refills No Warranty Detachable handles: The handles of this adjustable mop that can be attached or detached to adjust the height of the mop as per the user's convenience","{
    ""AI_DESCRIPTION"": ""Twin Bucket Spin Mop with Microfibre technology for easy cleaning. Dual refill, telescopic handle, and detachable handles for convenience.""
}",Scotch-Brite 2-in-1 Bucket Spin Mop ,2-in-1 Bucket Spin Mop with Refills
Home Improvement,B07LDKFM2Y,6,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4.2,44574,1085,Best Pick,"Twin Bucket Spin Mop for easy wringing and rinsing Microfibre technology helps lift and trap dirt with unique easy clean surface for superior clean Dual refill ensures usage depending on cleaning occasion and frequency and ensures that it lasts longer 360 degree telescopic handle to reach nooks and corners easily Material: Plastic, Color: Green Package Contents: 1-Piece Bucket, 1-Piece Handle and 2-Piece Round Refills No Warranty Detachable handles: The handles of this adjustable mop that can be attached or detached to adjust the height of the mop as per the user's convenience","{
    ""AI_DESCRIPTION"": ""Twin Bucket Spin Mop with Microfibre technology for easy cleaning. Dual refill, telescopic handle, detachable handles. No Warranty.""
}",Scotch-Brite 2-in-1 Bucket Spin Mop ,2-in-1 Bucket Spin Mop with Refills
Hot Tea Machines,B0926VKW1X,1,"https://images-eu.ssl-images-amazon.com/images/I/71hP1JEHDFL._AC_UL300_SR300,200_.jpg",4.5,296,15900,Best Pick,"Fully automatic vending machine: Make your hot cup of coffee or tea in seconds. This tea coffee vending machine dispenses your cuppa on just press of button. You don’t need milk, sugar, coffee/tea powder. All you need is instant coffee/tea premix, a 3-in-1 product consisting sugar, milk powder and coffee / tea powder. Just cut premix packet and load the powder inside the vending machine and press the button, your coffee or tea will be dispensed instantly. How to make coffee and tea: This is a hybrid model of vending machine which can make 2 types of hot beverages at the same time. There are 2 canisters inside the machine. You need to fill the premix powder inside these canisters. You can fill 2 varieties of premix powders by choosing any 2 premixes from the range available. These premix powders comes in standard size of 1 kg pack and you can fill 1kg premix powder in each canister. 1kg of premix will yield 80 cups. Delight your staff and customers: You can use this Vending Machine in Offices, Restaurants, Schools, Colleges, Coffee Shops, Grocery Stores and Factories for making coffee and tea instantly. This coffee and tea will taste just as home-made. Your staff and customers will thank you for providing lip smacking coffee and tea. Avoid wastage and pilferage: If you are making coffee and tea manually, it is proved worldwide pilferage & wastage is about 15% in every pantry. it is really tough to keep track of loose milk, stove gas, office boy timings. This coffee maker is having digital meter reading inside the machine by which you can track the consumption and co-relate with your premix powder purchase. Buy this coffee machine for your shop, restaurant or office and have full control on account of sales and consumption. Buy with peace of mind, we will ensure you will be happy and satisfied with this 2 Lane vending machine. After you receive the vending machine just call us on the phone number provided on the packing box of the vending machine and we will do the rest. It will take not more than 5 -10 minutes to install this robust user-friendly machine.","{
    ""AI_DESCRIPTION"": ""Make coffee or tea instantly with our fully automatic vending machine. No need for milk, sugar, or powder. Just press a button!""
}",Cafe DESIRE I DRINK SUCCESS Tea Coffee Machine - 2Lane ,2-in-1 Coffee Tea Machine
Bathroom Soap Dispensers,B0CKCSJJ9L,17,"https://images-eu.ssl-images-amazon.com/images/I/412upFOMHbL._AC_UL300_SR300,200_.jpg",4.3,281,227,Best Pick,"【Dual-Sided Design】: Dishwashing sponges typically have two sides—a soft, absorbent side for gentle cleaning and a scrubbing side with abrasive material for tackling tough stains and residues. 【Comfortable Grip】: Many sponges are designed with ergonomic shapes and grips to provide a comfortable and secure hold during use. 【Highly Absorbent】: The sponge's absorbent side is effective at soaking up liquids and spills, making it useful for wiping down surfaces and dishes. 【Non-Scratch Scrubbing Surface】: The scrubbing side is often equipped with a non-scratch abrasive material, like nylon or scouring pad, which helps remove food particles without damaging delicate surfaces. 【Durable and Long-Lasting】: Quality sponges are built to be durable and long-lasting, resisting wear and tear from repeated use.","{
    ""AI_DESCRIPTION"": ""Dual-sided sponge with comfortable grip, highly absorbent, non-scratch scrubbing surface, durable and long-lasting.""
}",Styxon Double Layer 2 in 1 Liquid soap Dispenser with Pump and Sponge ,2-in-1 Liquid Soap Dispenser
